DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,Station Indices,Rainfall Totals
KE201400000001,KE,2014.0,1.0,KE,NULL,NULL,NULL,NULL,90.0,Nairobi,9.0,Nairobi,CEN,U,-1.282723,36.752958,9999.0,1801.0,WGS84,POINT (36.752958 -1.282723),"[46477, 46478, 46670]","[901.9, 2255.7000000000003, 1407.4, 923.7, 1645.6000000000001, 865.6, 628.8, 1560.0, 1536.3000000000002, 765.3]"
KE201400000002,KE,2014.0,2.0,KE,NULL,NULL,NULL,NULL,90.0,Nairobi,9.0,Nairobi,CEN,U,-1.278781,36.758441,9999.0,1801.0,WGS84,POINT (36.758441 -1.278781),"[46477, 46478, 46670]","[901.9, 2255.7000000000003, 1407.4, 923.7, 1645.6000000000001, 865.6, 628.8, 1560.0, 1536.3000000000002, 765.3]"
KE201400000003,KE,2014.0,3.0,KE,NULL,NULL,NULL,NULL,90.0,Nairobi,9.0,Nairobi,CEN,U,-1.279646,36.745931,9999.0,1808.0,WGS84,POINT (36.745931 -1.279646),"[46282, 46477, 46478]","[1061.8, 2256.3, 1601.3, 994.4, 1763.8, 979.2, 795.8, 1787.2, 1622.7, 843.7]"
KE201400000004,KE,2014.0,4.0,KE,NULL,NULL,NULL,NULL,90.0,Nairobi,9.0,Nairobi,CEN,U,-1.28038,36.69709,9999.0,1894.0,WGS84,POINT (36.69709 -1.28038),"[46282, 46477, 46478]","[1061.8, 2256.3, 1601.3, 994.4, 1763.8, 979.2, 795.8, 1787.2, 1622.7, 843.7]"
KE201400000005,KE,2014.0,5.0,KE,NULL,NULL,NULL,NULL,90.0,Nairobi,9.0,Nairobi,CEN,U,-1.272064,36.743127,9999.0,1816.0,WGS84,POINT (36.743127 -1.272064),"[46282, 46477, 46478]","[1061.8, 2256.3, 1601.3, 994.4, 1763.8, 979.2, 795.8, 1787.2, 1622.7, 843.7]"
KE201400000006,KE,2014.0,6.0,KE,NULL,NULL,NULL,NULL,90.0,Nairobi,9.0,Nairobi,CEN,U,-1.263006,36.710592,9999.0,1920.0,WGS84,POINT (36.710592 -1.263006),"[46282, 46477, 46478]","[1061.8, 2256.3, 1601.3, 994.4, 1763.8, 979.2, 795.8, 1787.2, 1622.7, 843.7]"
KE201400000007,KE,2014.0,7.0,KE,NULL,NULL,NULL,NULL,90.0,Nairobi,9.0,Nairobi,CEN,U,-1.341546,36.697188,9999.0,1887.0,WGS84,POINT (36.697188 -1.341546),"[46282, 46477, 46478]","[1061.8, 2256.3, 1601.3, 994.4, 1763.8, 979.2, 795.8, 1787.2, 1622.7, 843.7]"
KE201400000008,KE,2014.0,8.0,KE,NULL,NULL,NULL,NULL,90.0,Nairobi,9.0,Nairobi,CEN,U,-1.312427,36.785408,9999.0,1702.0,WGS84,POINT (36.785408 -1.312427),"[46477, 46478, 46670]","[901.9, 2255.7000000000003, 1407.4, 923.7, 1645.6000000000001, 865.6, 628.8, 1560.0, 1536.3000000000002, 765.3]"
KE201400000009,KE,2014.0,9.0,KE,NULL,NULL,NULL,NULL,90.0,Nairobi,9.0,Nairobi,CEN,U,-1.318072,36.784683,9999.0,1710.0,WGS84,POINT (36.784683 -1.318072),"[46477, 46478, 46670]","[901.9, 2255.7000000000003, 1407.4, 923.7, 1645.6000000000001, 865.6, 628.8, 1560.0, 1536.3000000000002, 765.3]"
KE201400000010,KE,2014.0,10.0,KE,NULL,NULL,NULL,NULL,90.0,Nairobi,9.0,Nairobi,CEN,U,-1.315103,36.809522,9999.0,1700.0,WGS84,POINT (36.809522 -1.315103),"[46477, 46478, 46670]","[901.9, 2255.7000000000003, 1407.4, 923.7, 1645.6000000000001, 865.6, 628.8, 1560.0, 1536.3000000000002, 765.3]"
